Churn Probability,Risk Level
0.424397,Medium Risk
0.026459001,Low Risk
0.16943666,Low Risk
0.275155,Low Risk
0.15306053,Low Risk
0.30664805,Low Risk
0.031915218,Low Risk
0.021657055,Low Risk
0.12964046,Low Risk
0.054979555,Low Risk
0.15542495,Low Risk
0.10914833,Low Risk
0.043161746,Low Risk
0.05721482,Low Risk
0.017025603,Low Risk
0.019829027,Low Risk
0.08508282,Low Risk
0.07652482,Low Risk
0.0958435,Low Risk
0.12343484,Low Risk
0.25906277,Low Risk
0.041908443,Low Risk
0.034427926,Low Risk
0.12917244,Low Risk
0.019201666,Low Risk
0.04103064,Low Risk
0.6456749,Medium Risk
0.015992735,Low Risk
0.05131963,Low Risk
0.11859199,Low Risk
0.09513344,Low Risk
0.23952089,Low Risk
0.96376956,High Risk
0.35599226,Low Risk
0.1319592,Low Risk
0.14467277,Low Risk
0.17789024,Low Risk
0.063666664,Low Risk
0.015713206,Low Risk
0.03117334,Low Risk
0.032055624,Low Risk
0.010912889,Low Risk
0.41140953,Medium Risk
0.065480545,Low Risk
0.07125667,Low Risk
0.022892773,Low Risk
0.012772149,Low Risk
0.14972618,Low Risk
0.16859475,Low Risk
0.014879276,Low Risk
0.11594479,Low Risk
0.2587769,Low Risk
0.33497083,Low Risk
0.0696916,Low Risk
0.088592246,Low Risk
0.15666425,Low Risk
0.30138776,Low Risk
0.09937379,Low Risk
0.4026581,Medium Risk
0.01934661,Low Risk
0.03757403,Low Risk
0.061567735,Low Risk
0.38309255,Low Risk
0.024707988,Low Risk
0.07555829,Low Risk
0.016017465,Low Risk
0.10791469,Low Risk
0.0495005,Low Risk
0.08110676,Low Risk
0.115865216,Low Risk
0.2240143,Low Risk
0.28130114,Low Risk
0.037501425,Low Risk
0.10756005,Low Risk
0.1084931,Low Risk
0.22815664,Low Risk
0.4724706,Medium Risk
0.022691263,Low Risk
0.049549475,Low Risk
0.10540714,Low Risk
0.16953172,Low Risk
0.11365506,Low Risk
0.06536369,Low Risk
0.33560714,Low Risk
0.8423801,High Risk
0.07720294,Low Risk
0.104731806,Low Risk
0.034322146,Low Risk
0.10672709,Low Risk
0.021595825,Low Risk
0.030814782,Low Risk
0.07438819,Low Risk
0.8269081,High Risk
0.04355774,Low Risk
0.10108325,Low Risk
0.07089811,Low Risk
0.06672944,Low Risk
0.03076356,Low Risk
0.61514825,Medium Risk
0.0045492095,Low Risk
0.88893324,High Risk
0.9183392,High Risk
0.2708994,Low Risk
0.029211614,Low Risk
0.23170224,Low Risk
0.050377708,Low Risk
0.15462835,Low Risk
0.3701415,Low Risk
0.022066992,Low Risk
0.014859398,Low Risk
0.13413057,Low Risk
0.3166623,Low Risk
0.030492702,Low Risk
0.66961014,Medium Risk
0.05420944,Low Risk
0.17929377,Low Risk
0.014777353,Low Risk
0.9913201,High Risk
0.12794068,Low Risk
0.09681373,Low Risk
0.0892542,Low Risk
0.30172002,Low Risk
0.9248582,High Risk
0.046489175,Low Risk
0.017619265,Low Risk
0.04094735,Low Risk
0.07628866,Low Risk
0.26163238,Low Risk
0.021309154,Low Risk
0.7938295,High Risk
0.20098837,Low Risk
0.89247614,High Risk
0.05944472,Low Risk
0.17627092,Low Risk
0.25590497,Low Risk
0.19174819,Low Risk
0.067722596,Low Risk
0.02584406,Low Risk
0.8788377,High Risk
0.02419883,Low Risk
0.012859902,Low Risk
0.022821562,Low Risk
0.012482345,Low Risk
0.40806818,Medium Risk
0.06942233,Low Risk
0.1427324,Low Risk
0.09505755,Low Risk
0.16690865,Low Risk
0.01756355,Low Risk
0.03839648,Low Risk
0.05717161,Low Risk
0.020388354,Low Risk
0.011172967,Low Risk
0.019669328,Low Risk
0.5240006,Medium Risk
0.1133922,Low Risk
0.21727106,Low Risk
0.018190902,Low Risk
0.045769088,Low Risk
0.05591361,Low Risk
0.04067013,Low Risk
0.5960816,Medium Risk
0.055620227,Low Risk
0.0088807605,Low Risk
0.7929642,High Risk
0.14267083,Low Risk
0.045281418,Low Risk
0.04440494,Low Risk
0.03025623,Low Risk
0.5305554,Medium Risk
0.12819852,Low Risk
0.3787945,Low Risk
0.17343654,Low Risk
0.03935265,Low Risk
0.038900822,Low Risk
0.30127522,Low Risk
0.6941438,Medium Risk
0.51702785,Medium Risk
0.9540098,High Risk
0.020774601,Low Risk
0.025576128,Low Risk
0.022858592,Low Risk
0.2652921,Low Risk
0.047225345,Low Risk
0.0080602905,Low Risk
0.06664333,Low Risk
0.070831686,Low Risk
0.45091957,Medium Risk
0.028690185,Low Risk
0.52501875,Medium Risk
0.08735438,Low Risk
0.017692,Low Risk
0.45210677,Medium Risk
0.79257715,High Risk
0.013456566,Low Risk
0.34828225,Low Risk
0.16956867,Low Risk
0.058080852,Low Risk
0.013661095,Low Risk
0.13418463,Low Risk
0.05275568,Low Risk
0.6196256,Medium Risk
0.024274262,Low Risk
0.3173333,Low Risk
0.5074962,Medium Risk
0.02718875,Low Risk
0.034210805,Low Risk
0.99582905,High Risk
0.04878984,Low Risk
0.018906955,Low Risk
0.08490173,Low Risk
0.40367097,Medium Risk
0.07631432,Low Risk
0.6322351,Medium Risk
0.2423858,Low Risk
0.06279369,Low Risk
0.59297764,Medium Risk
0.3579178,Low Risk
0.13016328,Low Risk
0.014170641,Low Risk
0.19038728,Low Risk
0.18543316,Low Risk
0.1634141,Low Risk
0.25292218,Low Risk
0.11090321,Low Risk
0.038795926,Low Risk
0.075925246,Low Risk
0.19862947,Low Risk
0.022715062,Low Risk
0.019413965,Low Risk
0.12414379,Low Risk
0.028247034,Low Risk
0.8095894,High Risk
0.08099925,Low Risk
0.03516023,Low Risk
0.05131963,Low Risk
0.10709658,Low Risk
0.16323854,Low Risk
0.14951412,Low Risk
0.08818546,Low Risk
0.2259606,Low Risk
0.029944438,Low Risk
0.06985678,Low Risk
0.12775841,Low Risk
0.6599179,Medium Risk
0.13036022,Low Risk
0.22229674,Low Risk
0.054715566,Low Risk
0.009024748,Low Risk
0.11919811,Low Risk
0.017888974,Low Risk
0.021969473,Low Risk
0.06112036,Low Risk
0.07389222,Low Risk
0.0836794,Low Risk
0.09401321,Low Risk
0.020869693,Low Risk
0.17233473,Low Risk
0.46174327,Medium Risk
0.26014376,Low Risk
0.21251324,Low Risk
0.29147086,Low Risk
0.06567637,Low Risk
0.9759664,High Risk
0.020353835,Low Risk
0.031141207,Low Risk
0.5071416,Medium Risk
0.17618859,Low Risk
0.017517025,Low Risk
0.12522353,Low Risk
0.014280302,Low Risk
0.34618795,Low Risk
0.81631017,High Risk
0.010291283,Low Risk
0.29632,Low Risk
0.08257836,Low Risk
0.027498234,Low Risk
0.46942434,Medium Risk
0.13356413,Low Risk
0.015180336,Low Risk
0.014145143,Low Risk
0.050410714,Low Risk
0.9453702,High Risk
0.18843803,Low Risk
0.103880964,Low Risk
0.011893731,Low Risk
0.017947594,Low Risk
0.08254161,Low Risk
0.034693018,Low Risk
0.71970564,High Risk
0.33152503,Low Risk
0.41659546,Medium Risk
0.40796345,Medium Risk
0.16474545,Low Risk
0.02475394,Low Risk
0.018012835,Low Risk
0.012944132,Low Risk
0.012230919,Low Risk
0.010272354,Low Risk
0.20623048,Low Risk
0.02964321,Low Risk
0.035655648,Low Risk
0.18170378,Low Risk
0.48985586,Medium Risk
0.33817747,Low Risk
0.05755857,Low Risk
0.017899357,Low Risk
0.024592016,Low Risk
0.7798271,High Risk
0.14467427,Low Risk
0.03345618,Low Risk
0.077212706,Low Risk
0.03900504,Low Risk
0.10254623,Low Risk
0.6183833,Medium Risk
0.9334556,High Risk
0.3471488,Low Risk
0.16497573,Low Risk
0.3218078,Low Risk
0.0129532805,Low Risk
0.14648551,Low Risk
0.65134466,Medium Risk
0.23258933,Low Risk
0.53873646,Medium Risk
0.18246149,Low Risk
0.04758274,Low Risk
0.6551819,Medium Risk
0.7663823,High Risk
0.0939218,Low Risk
0.12315354,Low Risk
0.55730563,Medium Risk
0.54840815,Medium Risk
0.059670888,Low Risk
0.15030959,Low Risk
0.023748627,Low Risk
0.50400704,Medium Risk
0.52515197,Medium Risk
0.043622598,Low Risk
0.5984611,Medium Risk
0.055400167,Low Risk
0.12954116,Low Risk
0.054906156,Low Risk
0.045018043,Low Risk
0.06234751,Low Risk
0.066716865,Low Risk
0.030034734,Low Risk
0.10729375,Low Risk
0.049330235,Low Risk
0.4502931,Medium Risk
0.24917619,Low Risk
0.06384372,Low Risk
0.22128038,Low Risk
0.024887836,Low Risk
0.91899514,High Risk
0.05564339,Low Risk
0.77453464,High Risk
0.020277262,Low Risk
0.4384444,Medium Risk
0.02785102,Low Risk
0.1981745,Low Risk
0.02797703,Low Risk
0.026308976,Low Risk
0.2574213,Low Risk
0.20141087,Low Risk
0.19663635,Low Risk
0.057871204,Low Risk
0.22221337,Low Risk
0.03814124,Low Risk
0.52233523,Medium Risk
0.07923405,Low Risk
0.9968161,High Risk
0.9328052,High Risk
0.1455148,Low Risk
0.03375638,Low Risk
0.1737613,Low Risk
0.9501716,High Risk
0.2321042,Low Risk
0.4119141,Medium Risk
0.019055659,Low Risk
0.010583772,Low Risk
0.09972291,Low Risk
0.6882834,Medium Risk
0.19449796,Low Risk
0.029873354,Low Risk
0.036334768,Low Risk
0.012087294,Low Risk
0.32114148,Low Risk
0.4262258,Medium Risk
0.025801938,Low Risk
0.28924733,Low Risk
0.22305457,Low Risk
0.104817435,Low Risk
0.28152508,Low Risk
0.41757375,Medium Risk
0.10539348,Low Risk
0.529165,Medium Risk
0.26780108,Low Risk
0.7115942,High Risk
0.06977448,Low Risk
0.19789486,Low Risk
0.04605998,Low Risk
0.81620014,High Risk
0.049386773,Low Risk
0.02584241,Low Risk
0.13137023,Low Risk
0.8390673,High Risk
0.24517518,Low Risk
0.35255823,Low Risk
0.16672423,Low Risk
0.05394734,Low Risk
0.12670378,Low Risk
0.14780518,Low Risk
0.43919367,Medium Risk
0.1934501,Low Risk
0.17794123,Low Risk
0.1114277,Low Risk
0.010291283,Low Risk
0.26362517,Low Risk
0.22056486,Low Risk
0.7329876,High Risk
0.32013997,Low Risk
0.059673183,Low Risk
0.16263138,Low Risk
0.058158714,Low Risk
0.057141025,Low Risk
0.009015515,Low Risk
0.022135222,Low Risk
0.40365544,Medium Risk
0.55972564,Medium Risk
0.06662699,Low Risk
0.0815993,Low Risk
0.16468431,Low Risk
0.374292,Low Risk
0.009660038,Low Risk
0.15927064,Low Risk
0.18501475,Low Risk
0.029607445,Low Risk
0.13989119,Low Risk
0.018126044,Low Risk
0.009307528,Low Risk
0.020286873,Low Risk
0.060934827,Low Risk
0.6215287,Medium Risk
0.02065913,Low Risk
0.062300567,Low Risk
0.05094138,Low Risk
0.045710873,Low Risk
0.15590633,Low Risk
0.08162891,Low Risk
0.18677552,Low Risk
0.08852415,Low Risk
0.29822043,Low Risk
0.28259495,Low Risk
0.37176144,Low Risk
0.0859755,Low Risk
0.9905844,High Risk
0.03924673,Low Risk
0.03111517,Low Risk
0.47236744,Medium Risk
0.18267623,Low Risk
0.09379059,Low Risk
0.06957207,Low Risk
0.123293795,Low Risk
0.19565639,Low Risk
0.09650608,Low Risk
0.06256452,Low Risk
0.011849255,Low Risk
0.061967272,Low Risk
0.24925792,Low Risk
0.029456824,Low Risk
0.013040941,Low Risk
0.011082754,Low Risk
0.08192176,Low Risk
0.011466926,Low Risk
0.21319267,Low Risk
0.067735165,Low Risk
0.008841169,Low Risk
0.04679883,Low Risk
0.3622352,Low Risk
0.042443626,Low Risk
0.40650493,Medium Risk
0.2946392,Low Risk
0.08161815,Low Risk
0.05205982,Low Risk
0.95987666,High Risk
0.014167043,Low Risk
0.1745917,Low Risk
0.3928707,Low Risk
0.52303684,Medium Risk
0.032500647,Low Risk
0.12605211,Low Risk
0.07387167,Low Risk
0.5277215,Medium Risk
0.029890556,Low Risk
0.12575881,Low Risk
0.04405209,Low Risk
0.13619693,Low Risk
0.1616599,Low Risk
0.06061953,Low Risk
0.0137020955,Low Risk
0.066029556,Low Risk
0.07137492,Low Risk
0.93005604,High Risk
0.16240197,Low Risk
0.12668954,Low Risk
0.017180469,Low Risk
0.21543095,Low Risk
0.13669083,Low Risk
0.93125623,High Risk
0.29696295,Low Risk
0.09741673,Low Risk
0.32433143,Low Risk
0.08814402,Low Risk
0.018559735,Low Risk
0.1408361,Low Risk
0.04033584,Low Risk
0.9409205,High Risk
0.06726318,Low Risk
0.020566799,Low Risk
0.024241373,Low Risk
0.012019286,Low Risk
0.10573521,Low Risk
0.07891542,Low Risk
0.95942676,High Risk
0.25989392,Low Risk
0.02258578,Low Risk
0.0202781,Low Risk
0.4067031,Medium Risk
0.10555658,Low Risk
0.20282568,Low Risk
0.017902952,Low Risk
0.006712928,Low Risk
0.61030877,Medium Risk
0.9459433,High Risk
0.19305688,Low Risk
0.45318723,Medium Risk
0.14859667,Low Risk
0.29079273,Low Risk
0.022960655,Low Risk
0.5002077,Medium Risk
0.0559574,Low Risk
0.022346193,Low Risk
0.21719761,Low Risk
0.1557484,Low Risk
0.032900862,Low Risk
0.08662192,Low Risk
0.5289427,Medium Risk
0.52804387,Medium Risk
0.061612602,Low Risk
0.018892115,Low Risk
0.021342734,Low Risk
0.01409255,Low Risk
0.2750468,Low Risk
0.08692598,Low Risk
0.52911276,Medium Risk
0.02112888,Low Risk
0.066809416,Low Risk
0.123614945,Low Risk
0.02202417,Low Risk
0.05649954,Low Risk
0.7624879,High Risk
0.11824159,Low Risk
0.01964736,Low Risk
0.13838705,Low Risk
0.0579973,Low Risk
0.035474703,Low Risk
0.007546834,Low Risk
0.056690685,Low Risk
0.14785564,Low Risk
0.15212832,Low Risk
0.014465836,Low Risk
0.021104272,Low Risk
0.29398632,Low Risk
0.11132914,Low Risk
0.08100459,Low Risk
0.21159177,Low Risk
0.043690484,Low Risk
0.1416681,Low Risk
0.066044554,Low Risk
0.054190136,Low Risk
0.051335834,Low Risk
0.52297103,Medium Risk
0.16805233,Low Risk
0.18323609,Low Risk
0.04691575,Low Risk
0.79581654,High Risk
0.17869875,Low Risk
0.074923135,Low Risk
0.044338103,Low Risk
0.05282063,Low Risk
0.074583665,Low Risk
0.7811562,High Risk
0.990339,High Risk
0.06103458,Low Risk
0.22673398,Low Risk
0.023339218,Low Risk
0.7003598,High Risk
0.07007643,Low Risk
0.078615054,Low Risk
0.07207752,Low Risk
0.22715187,Low Risk
0.045479305,Low Risk
0.023964126,Low Risk
0.05003468,Low Risk
0.045295242,Low Risk
0.7178692,High Risk
0.0828875,Low Risk
0.04528976,Low Risk
0.05332408,Low Risk
0.012948934,Low Risk
0.060785174,Low Risk
0.20963302,Low Risk
0.41458055,Medium Risk
0.051930014,Low Risk
0.0060560238,Low Risk
0.021730715,Low Risk
0.05112357,Low Risk
0.012437917,Low Risk
0.17313467,Low Risk
0.92365605,High Risk
0.2689278,Low Risk
0.042923216,Low Risk
0.23098062,Low Risk
0.25788707,Low Risk
0.09338427,Low Risk
0.25610515,Low Risk
0.053765465,Low Risk
0.12665464,Low Risk
0.08320175,Low Risk
0.022751225,Low Risk
0.13554,Low Risk
0.45034084,Medium Risk
0.011902095,Low Risk
0.079333894,Low Risk
0.053986445,Low Risk
0.030273927,Low Risk
0.03610296,Low Risk
0.1316254,Low Risk
0.36065975,Low Risk
0.86332446,High Risk
0.02485193,Low Risk
0.4511775,Medium Risk
0.14381477,Low Risk
0.09810683,Low Risk
0.058831673,Low Risk
0.03336065,Low Risk
0.1128524,Low Risk
0.015833007,Low Risk
0.04934599,Low Risk
0.016522365,Low Risk
0.20356406,Low Risk
0.3461714,Low Risk
0.3871018,Low Risk
0.031682525,Low Risk
0.049526677,Low Risk
0.05177904,Low Risk
0.083102666,Low Risk
0.030600948,Low Risk
0.25772107,Low Risk
0.9488472,High Risk
0.35158986,Low Risk
0.19575967,Low Risk
0.264437,Low Risk
0.28631738,Low Risk
0.08644452,Low Risk
0.05219677,Low Risk
0.30015713,Low Risk
0.34972006,Low Risk
0.39765164,Low Risk
0.14592195,Low Risk
0.043872714,Low Risk
0.11679099,Low Risk
0.10987478,Low Risk
0.07421243,Low Risk
0.08680231,Low Risk
0.16353813,Low Risk
0.14220525,Low Risk
0.5060395,Medium Risk
0.32688183,Low Risk
0.34998003,Low Risk
0.06776206,Low Risk
0.014773686,Low Risk
0.19400917,Low Risk
0.02174306,Low Risk
0.67868656,Medium Risk
0.57547903,Medium Risk
0.21772052,Low Risk
0.33014348,Low Risk
0.015348592,Low Risk
0.009765719,Low Risk
0.13664347,Low Risk
0.038338445,Low Risk
0.063795716,Low Risk
0.09367997,Low Risk
0.045692522,Low Risk
0.010723861,Low Risk
0.016323887,Low Risk
0.1322213,Low Risk
0.037544426,Low Risk
0.30685478,Low Risk
0.043383103,Low Risk
0.21602845,Low Risk
0.20200679,Low Risk
0.14367507,Low Risk
0.043409944,Low Risk
0.04515446,Low Risk
0.30522674,Low Risk
0.07669313,Low Risk
0.024169253,Low Risk
0.056087255,Low Risk
0.113734685,Low Risk
0.11636327,Low Risk
0.014771877,Low Risk
0.46600726,Medium Risk
0.0375324,Low Risk
0.02179607,Low Risk
0.09200085,Low Risk
0.27855173,Low Risk
0.5054221,Medium Risk
0.09130059,Low Risk
0.012948636,Low Risk
0.43196645,Medium Risk
0.07452058,Low Risk
0.9932781,High Risk
0.10864003,Low Risk
0.1304921,Low Risk
0.12852077,Low Risk
0.015130201,Low Risk
0.22088672,Low Risk
0.9920095,High Risk
0.032975394,Low Risk
0.015747003,Low Risk
0.30216,Low Risk
0.18324447,Low Risk
0.89922416,High Risk
0.06250585,Low Risk
0.062389437,Low Risk
0.29468316,Low Risk
0.09304415,Low Risk
0.083005436,Low Risk
0.12769027,Low Risk
0.05992475,Low Risk
0.27696088,Low Risk
0.12636799,Low Risk
0.97164917,High Risk
0.08447173,Low Risk
0.022166336,Low Risk
0.058844987,Low Risk
0.017165402,Low Risk
0.06927641,Low Risk
0.12959395,Low Risk
0.9600863,High Risk
0.080171384,Low Risk
0.04913983,Low Risk
0.032690603,Low Risk
0.20854422,Low Risk
0.41177097,Medium Risk
0.5934161,Medium Risk
0.63782656,Medium Risk
0.15262654,Low Risk
0.12658882,Low Risk
0.06118053,Low Risk
0.10189064,Low Risk
0.023822462,Low Risk
0.10968144,Low Risk
0.23049664,Low Risk
0.31286126,Low Risk
0.007891455,Low Risk
0.44949728,Medium Risk
0.07750412,Low Risk
0.14505288,Low Risk
0.1291236,Low Risk
0.17314415,Low Risk
0.54274565,Medium Risk
0.48583344,Medium Risk
0.026289925,Low Risk
0.15269232,Low Risk
0.13621421,Low Risk
0.4830753,Medium Risk
0.028563397,Low Risk
0.01007441,Low Risk
0.30707756,Low Risk
0.043903597,Low Risk
0.019581007,Low Risk
0.100491226,Low Risk
0.014574214,Low Risk
0.09100793,Low Risk
0.12871839,Low Risk
0.3580884,Low Risk
0.96019715,High Risk
0.069365755,Low Risk
0.04463958,Low Risk
0.0105496235,Low Risk
0.21734816,Low Risk
0.021779133,Low Risk
0.07242809,Low Risk
0.9736631,High Risk
0.08957366,Low Risk
0.17081305,Low Risk
0.35185567,Low Risk
0.076653495,Low Risk
0.82715,High Risk
0.27020273,Low Risk
0.38832265,Low Risk
0.046692293,Low Risk
0.059716467,Low Risk
0.023937386,Low Risk
0.08565285,Low Risk
0.515823,Medium Risk
0.23302673,Low Risk
0.19386426,Low Risk
0.010344781,Low Risk
0.11846764,Low Risk
0.04917645,Low Risk
0.008837572,Low Risk
0.024270004,Low Risk
0.05645299,Low Risk
0.34599093,Low Risk
0.10577585,Low Risk
0.8183643,High Risk
0.1711541,Low Risk
0.13416868,Low Risk
0.04444114,Low Risk
0.090818435,Low Risk
0.5554161,Medium Risk
0.53029335,Medium Risk
0.122741155,Low Risk
0.2507925,Low Risk
0.033456575,Low Risk
0.024781883,Low Risk
0.106470264,Low Risk
0.70405436,High Risk
0.010148852,Low Risk
0.075259045,Low Risk
0.13134314,Low Risk
0.05558079,Low Risk
0.34167317,Low Risk
0.063511044,Low Risk
0.07060489,Low Risk
0.16719243,Low Risk
0.18887532,Low Risk
0.34504998,Low Risk
0.019026704,Low Risk
0.3478753,Low Risk
0.1254755,Low Risk
0.07001567,Low Risk
0.11515494,Low Risk
0.563227,Medium Risk
0.022428844,Low Risk
0.13429387,Low Risk
0.9344579,High Risk
0.23970519,Low Risk
0.4983715,Medium Risk
0.37986907,Low Risk
0.17317496,Low Risk
0.25884408,Low Risk
0.40627167,Medium Risk
0.28034538,Low Risk
0.098059185,Low Risk
0.45508632,Medium Risk
0.1425716,Low Risk
0.061069015,Low Risk
0.026248163,Low Risk
0.20824416,Low Risk
0.05419565,Low Risk
0.0930084,Low Risk
0.048010588,Low Risk
0.052312933,Low Risk
0.1584069,Low Risk
0.07561572,Low Risk
0.25934762,Low Risk
0.58449584,Medium Risk
0.057324257,Low Risk
0.08762485,Low Risk
0.12643072,Low Risk
0.7192824,High Risk
0.10099732,Low Risk
0.10713767,Low Risk
0.118369505,Low Risk
0.13670874,Low Risk
0.24700488,Low Risk
0.09596197,Low Risk
0.3460539,Low Risk
0.22059536,Low Risk
0.21028231,Low Risk
0.1674772,Low Risk
0.036456555,Low Risk
0.48104858,Medium Risk
0.016000211,Low Risk
0.06519914,Low Risk
0.018136473,Low Risk
0.04988362,Low Risk
0.024326188,Low Risk
0.028282514,Low Risk
0.069669895,Low Risk
0.12593871,Low Risk
0.13906181,Low Risk
0.05419565,Low Risk
0.17722706,Low Risk
0.023257036,Low Risk
0.12816544,Low Risk
0.038024724,Low Risk
0.34385663,Low Risk
0.2437932,Low Risk
0.021188337,Low Risk
0.009822813,Low Risk
0.47647092,Medium Risk
0.082773946,Low Risk
0.24949628,Low Risk
0.08226986,Low Risk
0.5416295,Medium Risk
0.09328345,Low Risk
0.21852922,Low Risk
0.041229643,Low Risk
0.17629898,Low Risk
0.04228262,Low Risk
0.67250526,Medium Risk
0.023950825,Low Risk
0.011805007,Low Risk
0.68738276,Medium Risk
0.24812949,Low Risk
0.009421201,Low Risk
0.030129327,Low Risk
0.17113896,Low Risk
0.54522246,Medium Risk
0.68737084,Medium Risk
0.5145333,Medium Risk
0.06686685,Low Risk
0.98103714,High Risk
0.18450922,Low Risk
0.043434463,Low Risk
0.23025382,Low Risk
0.07246595,Low Risk
0.054540396,Low Risk
0.92180896,High Risk
0.31997356,Low Risk
0.47375953,Medium Risk
0.037150163,Low Risk
0.09285256,Low Risk
0.23239227,Low Risk
0.30177975,Low Risk
0.111668155,Low Risk
0.24203227,Low Risk
0.124911174,Low Risk
0.9383244,High Risk
0.2100095,Low Risk
0.031063875,Low Risk
0.23535807,Low Risk
0.070323974,Low Risk
0.061157256,Low Risk
0.23873968,Low Risk
0.06874307,Low Risk
0.04671467,Low Risk
0.14027175,Low Risk
0.95563054,High Risk
0.034737926,Low Risk
0.45820838,Medium Risk
0.024765396,Low Risk
0.5803369,Medium Risk
0.1446755,Low Risk
0.061142813,Low Risk
0.05014164,Low Risk
0.089392945,Low Risk
0.09009201,Low Risk
0.060760245,Low Risk
0.050252754,Low Risk
0.31187493,Low Risk
0.21928795,Low Risk
0.06574997,Low Risk
0.24518286,Low Risk
0.019853676,Low Risk
0.025395637,Low Risk
0.14936018,Low Risk
0.10015183,Low Risk
0.04384931,Low Risk
0.18447512,Low Risk
0.759982,High Risk
0.111436285,Low Risk
0.121443205,Low Risk
0.17319371,Low Risk
0.062202167,Low Risk
0.018206779,Low Risk
0.19477507,Low Risk
0.3645741,Low Risk
0.11044871,Low Risk
0.07465146,Low Risk
0.72864556,High Risk
0.05166989,Low Risk
0.110802494,Low Risk
0.2387875,Low Risk
0.03965743,Low Risk
0.9333249,High Risk
0.584181,Medium Risk
0.13583636,Low Risk
0.28570038,Low Risk
0.2586348,Low Risk
0.30837232,Low Risk
0.121623285,Low Risk
0.068792224,Low Risk
0.39588842,Low Risk
0.01949898,Low Risk
0.10668098,Low Risk
0.24017023,Low Risk
0.037249003,Low Risk
0.39433056,Low Risk
0.10993666,Low Risk
0.04656274,Low Risk
0.023397146,Low Risk
0.017702868,Low Risk
0.04174835,Low Risk
0.6189727,Medium Risk
0.04524347,Low Risk
0.015440384,Low Risk
0.014210871,Low Risk
0.009369774,Low Risk
0.95073944,High Risk
0.23180437,Low Risk
0.0307556,Low Risk
0.46030846,Medium Risk
0.043858193,Low Risk
0.16124877,Low Risk
0.070689626,Low Risk
0.30381182,Low Risk
0.010587049,Low Risk
0.026343592,Low Risk
0.33953753,Low Risk
0.025846096,Low Risk
0.26440328,Low Risk
0.05475524,Low Risk
0.07048919,Low Risk
0.03037903,Low Risk
